danceability,energy,loudness,major,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cis,D,Dis,E,F,Fis,G,Gis,A,Ais,B,3/4,4/4,5/4,ysrelease,mood
0.645,0.598,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,227267,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,happy
0.649,0.679,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,220573,0,1,0,0,0,0,0,0,0,0,0,0,1,0,52,happy
0.648,0.62,-4.938,1,0.0276,0.284,0.0,0.0833,0.772,93.011,218763,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,happy
0.67,0.643,-4.553,1,0.0465,0.118,0.0,0.192,0.703,123.979,201159,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,happy
0.72,0.912,-6.13,1,0.0363,0.551,0.00122,0.0982,0.973,122.782,126947,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25,happy
0.482,0.786,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,323000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,46,happy
0.516,0.809,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,126960,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,happy
0.767,0.854,-6.947,1,0.0426,0.465,2.03e-06,0.485,0.963,149.206,234653,0,0,0,1,0,0,0,0,0,0,0,0,1,0,35,happy
0.726,0.537,-8.896,1,0.113,0.316,0.0,0.0707,0.887,96.91,145707,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,happy
0.669,0.783,-12.302,1,0.0295,0.0475,0.0296,0.115,0.896,124.518,201693,0,1,0,0,0,0,0,0,0,0,0,0,1,0,33,happy
0.622,0.43,-15.587,1,0.0434,0.863,0.0217,0.118,0.882,148.219,210067,0,0,0,0,0,0,1,0,0,0,0,0,1,0,50,happy
0.553,0.738,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602,125827,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57,happy
0.814,0.482,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180267,0,0,0,0,0,0,0,0,1,0,0,0,1,0,45,happy
0.45,0.656,-7.049,1,0.0472,0.664,3.02e-06,0.259,0.782,106.61,287307,0,1,0,0,0,0,0,0,0,0,0,0,1,0,40,happy
0.594,0.889,-7.775,1,0.246,0.768,0.0,0.124,0.8,116.187,221704,0,0,0,0,1,0,0,0,0,0,0,0,1,0,61,happy
0.836,0.509,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,276493,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,happy
0.731,0.804,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,205933,0,0,0,0,0,0,0,0,0,0,1,0,1,0,49,happy
0.673,0.902,-4.886,1,0.0553,0.0164,0.0145,0.269,0.704,97.007,225133,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,happy
0.529,0.932,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,201693,0,0,0,0,0,0,1,0,0,0,0,0,1,0,42,happy
0.776,0.763,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,280000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,36,happy
0.755,0.876,-8.867,1,0.0362,0.357,5.17e-06,0.22,0.954,102.762,174827,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,happy
0.377,0.681,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,0,0,0,0,0,0,1,0,0,0,0,0,1,0,46,happy
0.655,0.819,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,192790,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,happy
0.548,0.72,-9.777,0,0.0409,0.0686,0.000232,0.107,0.458,140.966,229093,1,0,0,0,0,0,0,0,0,0,0,0,1,0,45,happy
0.704,0.598,-4.922,1,0.0309,0.0283,0.0,0.106,0.472,115.483,196707,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,happy
0.566,0.755,-5.526,1,0.0368,0.0338,0.0,0.315,0.445,101.006,264493,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,happy
0.482,0.833,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12,happy
0.726,0.787,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,199987,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,happy
0.631,0.545,-7.175,0,0.127,0.452,0.0,0.266,0.415,134.895,269440,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,happy
0.572,0.835,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,happy
0.733,0.71,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,happy
0.613,0.953,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19,happy
0.537,0.882,-2.306,1,0.0403,0.000342,9.06e-05,0.12,0.81,145.729,179813,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,happy
0.556,0.92,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,159227,0,0,0,0,0,0,0,1,0,0,0,0,1,0,28,happy
0.64,0.864,-6.576,1,0.0314,0.00832,0.0,0.123,0.701,102.026,268360,0,0,0,0,0,0,1,0,0,0,0,0,1,0,25,happy
0.588,0.742,-6.757,1,0.0528,0.0162,3.98e-06,0.653,0.824,125.819,228173,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,happy
0.616,0.538,-9.165,0,0.17,0.0906,8.98e-06,0.192,0.278,127.948,259613,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,happy
0.573,0.939,-6.441,1,0.0808,0.493,0.0,0.0994,0.963,137.382,134253,0,0,0,0,0,0,0,1,0,0,0,0,1,0,58,happy
0.64,0.599,-6.378,1,0.145,0.558,0.00578,0.438,0.825,143.206,130478,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23,happy
0.521,0.516,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,0,1,0,0,0,0,0,0,0,0,0,0,1,0,63,happy
0.755,0.522,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,happy
0.791,0.677,-9.724,1,0.0356,0.776,0.00121,0.224,0.876,110.64,349280,0,0,0,0,1,0,0,0,0,0,0,0,1,0,36,happy
0.612,0.696,-11.34,1,0.0353,0.0785,9.4e-06,0.14,0.849,159.829,350862,0,0,0,0,0,0,0,0,0,0,1,0,1,0,35,happy
0.598,0.516,-12.487,0,0.0413,0.174,1.32e-06,0.0816,0.671,154.446,199399,1,0,0,0,0,0,0,0,0,0,0,0,1,0,52,happy
0.655,0.632,-4.802,1,0.0489,0.0189,0.0,0.0722,0.447,120.113,188493,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,happy
0.494,0.951,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025,202496,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,happy
0.764,0.84,-5.023,1,0.0672,0.393,8.64e-06,0.0686,0.843,130.276,148013,0,1,0,0,0,0,0,0,0,0,0,0,1,0,60,happy
0.601,0.574,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964,214080,0,1,0,0,0,0,0,0,0,0,0,0,1,0,49,happy
0.681,0.64,-10.364,1,0.0346,0.605,0.0,0.0641,0.966,117.884,137933,0,0,1,0,0,0,0,0,0,0,0,0,1,0,59,happy
0.651,0.653,-9.731,1,0.0545,0.365,0.000117,0.0742,0.729,164.912,164653,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,happy
0.537,0.737,-8.616,1,0.0364,0.00291,0.813,0.0524,0.703,123.943,343340,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,happy
0.469,0.538,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,176333,0,0,0,0,0,0,0,1,0,0,0,0,1,0,53,happy
0.727,0.974,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19,happy
0.738,0.983,-4.374,0,0.0855,0.038,5.93e-06,0.183,0.957,92.998,235760,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14,happy
0.471,0.924,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,happy
0.492,0.81,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,251840,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13,happy
0.514,0.942,-8.433,1,0.0502,0.282,6.6e-05,0.17,0.912,159.847,175267,0,0,0,0,0,0,0,0,1,0,0,0,1,0,42,happy
0.634,0.69,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988,253307,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,happy
0.594,0.716,-8.429,1,0.043,0.659,0.000829,0.363,0.847,132.309,168853,0,0,1,0,0,0,0,0,0,0,0,0,1,0,58,happy
