danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood,name,artists,Popularity,album_name,release_year
0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,audio_features,05wIrZSwuaVWhcv5FfqeH0,spotify:track:05wIrZSwuaVWhcv5FfqeH0,https://api.spotify.com/v1/tracks/05wIrZSwuaVWhcv5FfqeH0,https://api.spotify.com/v1/audio-analysis/05wIrZSwuaVWhcv5FfqeH0,238733,4,happy,Walking On Sunshine,Katrina & The Waves,80.0,Katrina & The Waves,1985
0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,audio_features,3yrSvpt2l1xhsV9Em88Pul,spotify:track:3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/tracks/3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/audio-analysis/3yrSvpt2l1xhsV9Em88Pul,183307,4,happy,Brown Eyed Girl,Van Morrison,81.0,Blowin' Your Mind!,1967
0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,audio_features,4o6BgsqLIBViaGVbx5rbRk,spotify:track:4o6BgsqLIBViaGVbx5rbRk,https://api.spotify.com/v1/tracks/4o6BgsqLIBViaGVbx5rbRk,https://api.spotify.com/v1/audio-analysis/4o6BgsqLIBViaGVbx5rbRk,190627,4,happy,You Make My Dreams (Come True),Daryl Hall & John Oates,78.0,Voices,1980
0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,audio_features,1ynmMEK1fkyiZ6Z6F3ThEt,spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,https://api.spotify.com/v1/tracks/1ynmMEK1fkyiZ6Z6F3ThEt,https://api.spotify.com/v1/audio-analysis/1ynmMEK1fkyiZ6Z6F3ThEt,216533,4,happy,Centerfold,The J. Geils Band,76.0,Freeze Frame,1981
0.8,0.545,2,-13.637,1,0.0357,0.711,0.00191,0.104,0.861,124.943,audio_features,4EEjMyQub6tgFVshlM9j1M,spotify:track:4EEjMyQub6tgFVshlM9j1M,https://api.spotify.com/v1/tracks/4EEjMyQub6tgFVshlM9j1M,https://api.spotify.com/v1/audio-analysis/4EEjMyQub6tgFVshlM9j1M,250933,4,happy,Margaritaville,Jimmy Buffett,70.0,"Changes In Latitudes, Changes In Attitudes",1977
0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639,audio_features,1WN4uNclrDuczTO3bCr8s1,spotify:track:1WN4uNclrDuczTO3bCr8s1,https://api.spotify.com/v1/tracks/1WN4uNclrDuczTO3bCr8s1,https://api.spotify.com/v1/audio-analysis/1WN4uNclrDuczTO3bCr8s1,160907,4,happy,Be My Baby,The Ronettes,66.0,Presenting the Fabulous Ronettes Featuring Veronica,1964
0.626,0.816,9,-10.593,1,0.131,0.237,1.8e-06,0.104,0.798,105.307,audio_features,6vxHp3CDNo0afgKGp2yi1E,spotify:track:6vxHp3CDNo0afgKGp2yi1E,https://api.spotify.com/v1/tracks/6vxHp3CDNo0afgKGp2yi1E,https://api.spotify.com/v1/audio-analysis/6vxHp3CDNo0afgKGp2yi1E,164813,4,happy,Me and Julio Down by the Schoolyard,Paul Simon,73.0,Paul Simon,1972
0.532,0.795,1,-3.979,1,0.0358,0.0559,0.0,0.295,0.78,143.837,audio_features,0mvkwaZMP2gAy2ApQLtZRv,spotify:track:0mvkwaZMP2gAy2ApQLtZRv,https://api.spotify.com/v1/tracks/0mvkwaZMP2gAy2ApQLtZRv,https://api.spotify.com/v1/audio-analysis/0mvkwaZMP2gAy2ApQLtZRv,199267,4,happy,It's a Beautiful Day,Michael Bublé,68.0,To Be Loved,2013
0.511,0.644,4,-12.191,1,0.0352,0.173,6.17e-05,0.0928,0.828,128.067,audio_features,4uip0lLkMKl1nwchsdXs1r,spotify:track:4uip0lLkMKl1nwchsdXs1r,https://api.spotify.com/v1/tracks/4uip0lLkMKl1nwchsdXs1r,https://api.spotify.com/v1/audio-analysis/4uip0lLkMKl1nwchsdXs1r,207667,4,happy,Fox On The Run,Sweet,60.0,Desolation Boulevard,1974
0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,audio_features,2ccUQnjjNWT0rsNnsBpsCA,spotify:track:2ccUQnjjNWT0rsNnsBpsCA,https://api.spotify.com/v1/tracks/2ccUQnjjNWT0rsNnsBpsCA,https://api.spotify.com/v1/audio-analysis/2ccUQnjjNWT0rsNnsBpsCA,253733,4,happy,Surrender,Cheap Trick,70.0,Heaven Tonight,1978
0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,audio_features,4pbG9SUmWIvsROVLF0zF9s,spotify:track:4pbG9SUmWIvsROVLF0zF9s,https://api.spotify.com/v1/tracks/4pbG9SUmWIvsROVLF0zF9s,https://api.spotify.com/v1/audio-analysis/4pbG9SUmWIvsROVLF0zF9s,145747,4,happy,I Want To Hold Your Hand - Remastered 2015,The Beatles,71.0,1 (Remastered),2000
0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,audio_features,27L8sESb3KR79asDUBu8nW,spotify:track:27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/audio-analysis/27L8sESb3KR79asDUBu8nW,197987,4,happy,Stacy's Mom,Fountains Of Wayne,76.0,Welcome Interstate Managers,2003
0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,audio_features,2m1hi0nfMR9vdGC8UcrnwU,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/tracks/2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/audio-analysis/2m1hi0nfMR9vdGC8UcrnwU,167067,4,happy,All The Small Things,blink-182,81.0,Enema Of The State,1999
0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,audio_features,6GG73Jik4jUlQCkKg9JuGO,spotify:track:6GG73Jik4jUlQCkKg9JuGO,https://api.spotify.com/v1/tracks/6GG73Jik4jUlQCkKg9JuGO,https://api.spotify.com/v1/audio-analysis/6GG73Jik4jUlQCkKg9JuGO,165853,4,happy,The Middle,Jimmy Eat World,80.0,Bleed American,2001
0.467,0.958,4,-4.808,0,0.0775,0.000479,0.199,0.299,0.701,145.92,audio_features,5xC8uOesnn0udeXAYlAnoY,spotify:track:5xC8uOesnn0udeXAYlAnoY,https://api.spotify.com/v1/tracks/5xC8uOesnn0udeXAYlAnoY,https://api.spotify.com/v1/audio-analysis/5xC8uOesnn0udeXAYlAnoY,180880,4,happy,Alright,Supergrass,73.0,I Should Coco,1995
0.582,0.952,5,-3.848,1,0.0731,0.00324,0.0,0.223,0.655,103.027,audio_features,2Fs18NaCDuluPG1DHGw1XG,spotify:track:2Fs18NaCDuluPG1DHGw1XG,https://api.spotify.com/v1/tracks/2Fs18NaCDuluPG1DHGw1XG,https://api.spotify.com/v1/audio-analysis/2Fs18NaCDuluPG1DHGw1XG,276320,4,happy,Life is a Highway,Rascal Flatts,76.0,Me And My Gang,2006
0.656,0.884,2,-4.748,1,0.0372,0.0162,0.0,0.145,0.86,105.009,audio_features,6BtmXhTJMM9sBTHeYYASGz,spotify:track:6BtmXhTJMM9sBTHeYYASGz,https://api.spotify.com/v1/tracks/6BtmXhTJMM9sBTHeYYASGz,https://api.spotify.com/v1/audio-analysis/6BtmXhTJMM9sBTHeYYASGz,237987,4,happy,It's Time,Imagine Dragons,68.0,Night Visions,2012
0.622,0.54,5,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879,audio_features,19Ym5Sg0YyOCa6ao21bdoG,spotify:track:19Ym5Sg0YyOCa6ao21bdoG,https://api.spotify.com/v1/tracks/19Ym5Sg0YyOCa6ao21bdoG,https://api.spotify.com/v1/audio-analysis/19Ym5Sg0YyOCa6ao21bdoG,264907,4,happy,Gypsy,Fleetwood Mac,72.0,Greatest Hits,1988
0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,audio_features,4yugZvBYaoREkJKtbG08Qr,spotify:track:4yugZvBYaoREkJKtbG08Qr,https://api.spotify.com/v1/tracks/4yugZvBYaoREkJKtbG08Qr,https://api.spotify.com/v1/audio-analysis/4yugZvBYaoREkJKtbG08Qr,211578,4,happy,Take It Easy - 2013 Remaster,Eagles,78.0,Eagles (2013 Remaster),1972
0.349,0.692,1,-11.691,1,0.0338,0.462,0.00266,0.197,0.952,179.396,audio_features,5cfYurP1XKldMBtvBBJiTs,spotify:track:5cfYurP1XKldMBtvBBJiTs,https://api.spotify.com/v1/tracks/5cfYurP1XKldMBtvBBJiTs,https://api.spotify.com/v1/audio-analysis/5cfYurP1XKldMBtvBBJiTs,288507,4,happy,Ramblin' Man,Allman Brothers Band,69.0,Dreams,1989
0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,audio_features,40h65HAR8COEoqkMwUUQHu,spotify:track:40h65HAR8COEoqkMwUUQHu,https://api.spotify.com/v1/tracks/40h65HAR8COEoqkMwUUQHu,https://api.spotify.com/v1/audio-analysis/40h65HAR8COEoqkMwUUQHu,257963,4,happy,Peaceful Easy Feeling - 2013 Remaster,Eagles,69.0,Eagles (2013 Remaster),1972
0.446,0.915,9,-6.221,1,0.141,0.00281,3.87e-05,0.218,0.398,190.013,audio_features,1BwhFXqoIsePt21WyWIttb,spotify:track:1BwhFXqoIsePt21WyWIttb,https://api.spotify.com/v1/tracks/1BwhFXqoIsePt21WyWIttb,https://api.spotify.com/v1/audio-analysis/1BwhFXqoIsePt21WyWIttb,204520,4,happy,I Wanna Get Better,Bleachers,65.0,Strange Desire,2014
0.553,0.657,1,-8.219,1,0.0405,0.335,0.000648,0.228,0.555,107.889,audio_features,15DrrIod12Tc2IoMaHiwlQ,spotify:track:15DrrIod12Tc2IoMaHiwlQ,https://api.spotify.com/v1/tracks/15DrrIod12Tc2IoMaHiwlQ,https://api.spotify.com/v1/audio-analysis/15DrrIod12Tc2IoMaHiwlQ,192707,4,happy,I Bet My Life,Imagine Dragons,62.0,Smoke + Mirrors,2014
0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439,audio_features,5uHYcK0nbEYgRaFTY5BqnP,spotify:track:5uHYcK0nbEYgRaFTY5BqnP,https://api.spotify.com/v1/tracks/5uHYcK0nbEYgRaFTY5BqnP,https://api.spotify.com/v1/audio-analysis/5uHYcK0nbEYgRaFTY5BqnP,196133,4,happy,Magic (feat. Rivers Cuomo),B.o.B,67.0,B.o.B Presents: The Adventures of Bobby Ray,2010
0.628,0.867,9,-3.555,1,0.0913,0.0108,0.0,0.308,0.597,78.043,audio_features,2dgFqylK6gyILa4HY65u0y,spotify:track:2dgFqylK6gyILa4HY65u0y,https://api.spotify.com/v1/tracks/2dgFqylK6gyILa4HY65u0y,https://api.spotify.com/v1/audio-analysis/2dgFqylK6gyILa4HY65u0y,227311,4,happy,I'm Ready,AJR,64.0,Living Room,2013
0.544,0.905,7,-10.732,1,0.0646,0.00165,1.97e-06,0.0532,0.825,103.594,audio_features,0cuq829zRNq4AEdmDJA4aw,spotify:track:0cuq829zRNq4AEdmDJA4aw,https://api.spotify.com/v1/tracks/0cuq829zRNq4AEdmDJA4aw,https://api.spotify.com/v1/audio-analysis/0cuq829zRNq4AEdmDJA4aw,256947,4,happy,Two Princes,Spin Doctors,69.0,Pocket Full Of Kryptonite (Anniversary Edition),1991
0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,audio_features,7Ar4G7Ci11gpt6sfH9Cgz5,spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,https://api.spotify.com/v1/tracks/7Ar4G7Ci11gpt6sfH9Cgz5,https://api.spotify.com/v1/audio-analysis/7Ar4G7Ci11gpt6sfH9Cgz5,227267,4,happy,Listen to the Music,The Doobie Brothers,76.0,Toulouse Street,1972
0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,audio_features,2ymeOsYijJz09LfKw3yM2x,spotify:track:2ymeOsYijJz09LfKw3yM2x,https://api.spotify.com/v1/tracks/2ymeOsYijJz09LfKw3yM2x,https://api.spotify.com/v1/audio-analysis/2ymeOsYijJz09LfKw3yM2x,220573,4,happy,Joy To The World,Three Dog Night,70.0,Naturally,1970
0.648,0.62,5,-4.938,1,0.0276,0.284,0.0,0.0833,0.772,93.011,audio_features,5jiYx70OBzEI99jx1Gn3FN,spotify:track:5jiYx70OBzEI99jx1Gn3FN,https://api.spotify.com/v1/tracks/5jiYx70OBzEI99jx1Gn3FN,https://api.spotify.com/v1/audio-analysis/5jiYx70OBzEI99jx1Gn3FN,218763,4,happy,Sober Up (feat. Rivers Cuomo),AJR,65.0,The Click,2017
0.67,0.643,5,-4.553,1,0.0465,0.118,0.0,0.192,0.703,123.979,audio_features,5DZwnLxHjWTZaz9jOpRhxb,spotify:track:5DZwnLxHjWTZaz9jOpRhxb,https://api.spotify.com/v1/tracks/5DZwnLxHjWTZaz9jOpRhxb,https://api.spotify.com/v1/audio-analysis/5DZwnLxHjWTZaz9jOpRhxb,201159,4,happy,Weak,AJR,69.0,The Click,2017
0.72,0.912,4,-6.13,1,0.0363,0.551,0.00122,0.0982,0.973,122.782,audio_features,6M14BiCN00nOsba4JaYsHW,spotify:track:6M14BiCN00nOsba4JaYsHW,https://api.spotify.com/v1/tracks/6M14BiCN00nOsba4JaYsHW,https://api.spotify.com/v1/audio-analysis/6M14BiCN00nOsba4JaYsHW,126947,4,happy,Ocean Man,Ween,65.0,The Mollusk,1997
0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,audio_features,4DMKwE2E2iYDKY01C335Uw,spotify:track:4DMKwE2E2iYDKY01C335Uw,https://api.spotify.com/v1/tracks/4DMKwE2E2iYDKY01C335Uw,https://api.spotify.com/v1/audio-analysis/4DMKwE2E2iYDKY01C335Uw,323000,4,happy,Carry on Wayward Son,Kansas,76.0,Leftoverture (Expanded Edition),1976
0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,audio_features,2aEeghgUcnu75tzcolFMfs,spotify:track:2aEeghgUcnu75tzcolFMfs,https://api.spotify.com/v1/tracks/2aEeghgUcnu75tzcolFMfs,https://api.spotify.com/v1/audio-analysis/2aEeghgUcnu75tzcolFMfs,126960,4,happy,La Bamba - Single Version,Ritchie Valens,66.0,Ritchie Valens,1959
0.767,0.854,4,-6.947,1,0.0426,0.465,2.03e-06,0.485,0.963,149.206,audio_features,3OeUlriM0EZHdWleJtjoVr,spotify:track:3OeUlriM0EZHdWleJtjoVr,https://api.spotify.com/v1/tracks/3OeUlriM0EZHdWleJtjoVr,https://api.spotify.com/v1/audio-analysis/3OeUlriM0EZHdWleJtjoVr,234653,4,happy,Got My Mind Set On You - Remastered 2004,George Harrison,73.0,Cloud Nine,1987
0.726,0.537,0,-8.896,1,0.113,0.316,0.0,0.0707,0.887,96.91,audio_features,2ugghimAssmeO3YpFIV7mb,spotify:track:2ugghimAssmeO3YpFIV7mb,https://api.spotify.com/v1/tracks/2ugghimAssmeO3YpFIV7mb,https://api.spotify.com/v1/audio-analysis/2ugghimAssmeO3YpFIV7mb,145707,4,happy,Blister In The Sun,Violent Femmes,3.0,Violent Femmes,1983
0.669,0.783,2,-12.302,1,0.0295,0.0475,0.0296,0.115,0.896,124.518,audio_features,0cs671lxX2eoDzr2KMuo3N,spotify:track:0cs671lxX2eoDzr2KMuo3N,https://api.spotify.com/v1/tracks/0cs671lxX2eoDzr2KMuo3N,https://api.spotify.com/v1/audio-analysis/0cs671lxX2eoDzr2KMuo3N,201693,4,happy,Here Comes Your Man,Pixies,1.0,Doolittle,1989
0.622,0.43,7,-15.587,1,0.0434,0.863,0.0217,0.118,0.882,148.219,audio_features,7DTfOX4SIuMMt33sSVvLRr,spotify:track:7DTfOX4SIuMMt33sSVvLRr,https://api.spotify.com/v1/tracks/7DTfOX4SIuMMt33sSVvLRr,https://api.spotify.com/v1/audio-analysis/7DTfOX4SIuMMt33sSVvLRr,210067,4,happy,Supersonic Rocket Ship,The Kinks,0.0,Everybody's in Show-Biz,1972
0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602,audio_features,1udKn1oNKYQSQ9OmiIWCMu,spotify:track:1udKn1oNKYQSQ9OmiIWCMu,https://api.spotify.com/v1/tracks/1udKn1oNKYQSQ9OmiIWCMu,https://api.spotify.com/v1/audio-analysis/1udKn1oNKYQSQ9OmiIWCMu,125827,4,happy,Do You Believe in Magic?,The Lovin' Spoonful,71.0,Do you Believe In Magic,1965
0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,audio_features,6A9mKXlFRPMPem6ygQSt7z,spotify:track:6A9mKXlFRPMPem6ygQSt7z,https://api.spotify.com/v1/tracks/6A9mKXlFRPMPem6ygQSt7z,https://api.spotify.com/v1/audio-analysis/6A9mKXlFRPMPem6ygQSt7z,180267,4,happy,Three Little Birds,Bob Marley & The Wailers,76.0,Exodus (Deluxe Edition),1977
0.45,0.656,2,-7.049,1,0.0472,0.664,3.02e-06,0.259,0.782,106.61,audio_features,3MrWxJaD2AT0W9DjWF64Vm,spotify:track:3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/tracks/3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/audio-analysis/3MrWxJaD2AT0W9DjWF64Vm,287307,4,happy,Come On Eileen,Dexys Midnight Runners,77.0,Too Rye Ay,1982
0.594,0.889,5,-7.775,1,0.246,0.768,0.0,0.124,0.8,116.187,audio_features,1zW2csx1vVJrKfvDrFQNVt,spotify:track:1zW2csx1vVJrKfvDrFQNVt,https://api.spotify.com/v1/tracks/1zW2csx1vVJrKfvDrFQNVt,https://api.spotify.com/v1/audio-analysis/1zW2csx1vVJrKfvDrFQNVt,221704,4,happy,Jump in the Line,Harry Belafonte,65.0,Jump Up Calypso,1961
0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,audio_features,5IMtdHjJ1OtkxbGe4zfUxQ,spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,https://api.spotify.com/v1/tracks/5IMtdHjJ1OtkxbGe4zfUxQ,https://api.spotify.com/v1/audio-analysis/5IMtdHjJ1OtkxbGe4zfUxQ,276493,4,happy,Escape (The Pina Colada Song),Rupert Holmes,77.0,Partners In Crime,1979
0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,audio_features,7GVUmCP00eSsqc4tzj1sDD,spotify:track:7GVUmCP00eSsqc4tzj1sDD,https://api.spotify.com/v1/tracks/7GVUmCP00eSsqc4tzj1sDD,https://api.spotify.com/v1/audio-analysis/7GVUmCP00eSsqc4tzj1sDD,205933,4,happy,Come and Get Your Love - Single Version,Redbone,77.0,Come and Get Your Love,1973
0.673,0.902,10,-4.886,1,0.0553,0.0164,0.0145,0.269,0.704,97.007,audio_features,6iBWazas8QsDtBnjlXkrXk,spotify:track:6iBWazas8QsDtBnjlXkrXk,https://api.spotify.com/v1/tracks/6iBWazas8QsDtBnjlXkrXk,https://api.spotify.com/v1/audio-analysis/6iBWazas8QsDtBnjlXkrXk,225133,4,happy,The Sound Of Sunshine,Michael Franti & Spearhead,62.0,The Sound Of Sunshine,2010
